expression; size; sliced on; sign slice; sign size; sign time (ns) ; parity slice; parity size; parity time ; concrete slice; concrete size; concrete time 
(let ((feptdp 27) (wbafgk (- -19 -29)) (rirp 17)) (- 25 feptdp));11;21;(let ((feptdp 27)) '());3;400;(let ((feptdp 27)) '());3;200;(let ((feptdp 27)) '());3;100
(let ((epglw 18) (f -8)) epglw);4;-10;(let ((epglw 18)) '());3;600;(let ((epglw 18)) '());3;300;(let ((epglw 18)) '());3;400
(let* ((iiodu (* 29 26)) (jghp (if #f 10 -12)) (aftlf -24)) (let* ((bsb aftlf) (osizw -8) (jewpns (+ (* jghp (* -6 (+ (- (- (+ (- (+ jghp jghp) iiodu) (+ (+ 24 26) (/ iiodu 15))) jghp) iiodu) jghp))) jghp))) (if #t osizw bsb)));54;-19;(let* ((iiodu (* 29 26)) (jghp (if #f 10 -12)) (aftlf -24)) (let* ((jewpns (+ (* jghp (* -6 (+ (- (- (+ (- (+ jghp jghp) iiodu) (+ (+ 24 26) (/ iiodu 15))) jghp) iiodu) jghp))) jghp))) '()));49;300;(let* ((iiodu (* 29 26)) (jghp (if #f 10 -12)) (aftlf -24)) (let* ((jewpns (+ (* jghp (* -6 (+ (- (- (+ (- (+ jghp jghp) iiodu) (+ (+ 24 26) (/ iiodu 15))) jghp) iiodu) jghp))) jghp))) '()));49;200;(let* ((iiodu (* 29 26)) (jghp (if #f 10 -12)) (aftlf -24)) (let* ((jewpns (+ (* jghp (* -6 (+ (- (- (+ (- (+ jghp jghp) iiodu) (+ (+ 24 26) (/ iiodu 15))) jghp) iiodu) jghp))) jghp))) '()));49;200
(let* ((ykfkm 8) (mkju -28) (ljkx (* -30 8)) (zfe -20)) (/ (if #f (begin (* -8 (* 11 zfe)) (set! ykfkm ykfkm) 8) (if #f -16 24)) (- (- (/ -24 mkju) (- (+ -29 24) (* 2 zfe))) mkju)));46;-3;(let* ((ykfkm 8) (mkju -28) (zfe -20)) (/ (if #f (begin (set! ykfkm ykfkm) 8) (if #f -16 24)) (- (- (/ -24 mkju) (- (+ -29 24) (* 2 zfe))) mkju)));35;300;(let* ((ykfkm 8) (mkju -28) (zfe -20)) (/ (if #f (begin (set! ykfkm ykfkm) 8) (if #f -16 24)) (- (- (/ -24 mkju) (- (+ -29 24) (* 2 zfe))) mkju)));35;100;(let* ((ykfkm 8) (mkju -28) (zfe -20)) (/ (if #f (begin (set! ykfkm ykfkm) 8) (if #f -16 24)) (- (- (/ -24 mkju) (- (+ -29 24) (* 2 zfe))) mkju)));35;200
(let ((e -7) (phpg -14)) (begin (set! phpg (- (if #f (if #t 1 phpg) (* -29 -7)) (begin (set! phpg e) 20))) (set! phpg -25) (set! e (* (- (/ e (- 22 (* 7 phpg))) (* -3 e)) phpg)) (- (* -24 e) 30) (- phpg e)));54;2;(let ((e -7) (phpg -14)) (begin (set! phpg (- (if #f (if #t 1 phpg) (* -29 -7)) (begin (set! phpg e) 20))) (set! phpg -25) (set! e (* (- (/ e (- 22 (* 7 phpg))) (* -3 e)) phpg))));43;600;(let ((e -7) (phpg -14)) (begin (set! phpg (- (if #f (if #t 1 phpg) (* -29 -7)) (begin (set! phpg e) 20))) (set! e (* (- (/ e (- 22 (* 7 phpg))) (* -3 e)) phpg))));41;200;(let ((e -7) (phpg -14)) (begin (set! phpg (- (if #f (if #t 1 phpg) (* -29 -7)) (begin (set! phpg e) 20))) (set! phpg -25) (set! e (* (- (/ e (- 22 (* 7 phpg))) (* -3 e)) phpg))));43;300
(letrec* ((t 8) (yiga (if #f (if #f (* 14 6) (if #f -1 15)) 29)) (uhfiu -8) (bei (* -21 -6)) (tz -29)) (if (= uhfiu t) (let ((rnnafd (* (/ 27 -14) -16)) (lfk -23) (szfvxm t)) -8) -2));38;-27;(letrec* ((t 8) (uhfiu -8)) (if (= uhfiu t) (let ((rnnafd (* (/ 27 -14) -16))) '()) '()));18;700;(letrec* ((t 8) (uhfiu -8)) (if (= uhfiu t) (let ((rnnafd (* (/ 27 -14) -16))) '()) '()));18;500;(letrec* ((t 8) (uhfiu -8)) (if (= uhfiu t) (let ((rnnafd (* (/ 27 -14) -16))) '()) '()));18;200
(let ((etvq 29) (gqkxkt -10)) (* -17 (if #t (begin (set! etvq (+ 20 (+ gqkxkt 7))) (set! etvq -20) (set! gqkxkt -12) -8) etvq)));23;21;(let ((etvq 29) (gqkxkt -10)) (* -17 (if #t (begin (set! gqkxkt -12) -8) etvq)));13;200;(let ((etvq 29) (gqkxkt -10)) (* -17 (if #t (begin (set! gqkxkt -12) -8) etvq)));13;200;(let ((etvq 29) (gqkxkt -10)) (* -17 (if #t (begin (set! gqkxkt -12) -8) etvq)));13;600
(let ((kh -18) (w (- (* (if #f (if #t 3 20) 16) (* (+ -28 5) 16)) (+ -18 (- 11 (- -2 -29))))) (a (if #f (+ 30 -2) 11)) (zboxlx 2) (qwkql -8) (dql 8)) (/ kh 4));44;30;(let ((kh -18)) '());3;100;(let ((kh -18)) '());3;200;(let ((kh -18)) '());3;200
(let ((rpzko 23) (qwoke (+ 14 -9)) (um -30) (ngac 23)) (begin (set! rpzko (* qwoke (/ (/ qwoke (* (/ 4 -25) 7)) -20))) 9 15));28;-22;(let ((um -30)) '());3;200;(let ((um -30)) '());3;400;(let ((qwoke (+ 14 -9)) (um -30)) '());7;200
(let* ((zjy (if #f (begin -14 24 -5) 6)) (a (/ -19 -18)) (eu 28) (cw (/ -6 (- -9 14))) (qdg (+ -21 25)) (bgqy 12)) (begin eu 8 3));29;6;(let* ((zjy (if #f (begin -5) 6))) '());7;200;(let* ((zjy (if #f (begin -5) 6))) '());7;200;(let* ((zjy (if #f (begin -5) 6))) '());7;400
(let ((uriar 3) (tiaz (let* ((ay -2)) (if #f ay 24))) (mmj (if (< 26 4) (+ 4 13) -18)) (q -23) (iry 27)) (/ 15 (if (< (/ (+ uriar tiaz) 11) (- -28 (+ (+ -22 (/ (* mmj (+ 12 q)) -25)) -18))) (- 0 18) (letrec* ((ducnfx (- (* (- iry -4) 27) tiaz)) (y -13)) (+ (- 11 (- mmj mmj)) y)))));78;15;(let ((uriar 3) (tiaz (let* ((ay -2)) (if #f ay 24))) (mmj (if (< 26 4) (+ 4 13) -18)) (q -23)) (/ 15 (if (< (/ (+ uriar tiaz) 11) (- -28 (+ (+ -22 (/ (* mmj (+ 12 q)) -25)) -18))) (- 0 18) (letrec* ((y -13)) (+ (- 11 (- mmj mmj)) y)))));67;500;(let ((uriar 3) (tiaz (let* ((ay -2)) (if #f ay 24))) (mmj (if (< 26 4) (+ 4 13) -18)) (q -23)) (/ 15 (if (< (/ (+ uriar tiaz) 11) (- -28 (+ (+ -22 (/ (* mmj (+ 12 q)) -25)) -18))) (- 0 18) (letrec* ((y -13)) (+ (- 11 (- mmj mmj)) y)))));67;500;(let ((uriar 3) (tiaz (let* ((ay -2)) (if #f ay 24))) (mmj (if (< 26 4) (+ 4 13) -18)) (q -23) (iry 27)) (/ 15 (if (< (/ (+ uriar tiaz) 11) (- -28 (+ (+ -22 (/ (* mmj (+ 12 q)) -25)) -18))) (- 0 18) (letrec* ((y -13)) (+ (- 11 (- mmj mmj)) y)))));68;100
(letrec* ((ybvq -30) (m (- (letrec* () 12) (let () 27))) (vxd 25) (kx -24) (exs 10)) 12);12;-4;(letrec* ((m (- (letrec* () 12) (let () 27)))) '());8;700;(letrec* ((m (- (letrec* () 12) (let () 27)))) '());8;100;(letrec* ((m (- (letrec* () 12) (let () 27)))) '());8;600
(letrec* ((tbr -23) (f (/ -10 -18)) (xd (let* ((pwr 29)) (/ (* pwr (+ pwr pwr)) pwr))) (awdp (begin 19 4)) (dv 23) (zvlat 25)) (if (= (* awdp 4) dv) 25 (if (= dv 0) f (if (= (+ f awdp) (/ 11 tbr)) (let* ((fz 22)) -12) (if #f -17 zvlat)))));56;-6;(letrec* ((tbr -23) (f (/ -10 -18)) (xd (let* ((pwr 29)) (/ (* pwr (+ pwr pwr)) pwr))) (awdp (begin 4)) (dv 23)) '());22;100;(letrec* ((tbr -23) (f (/ -10 -18)) (xd (let* ((pwr 29)) (/ (* pwr (+ pwr pwr)) pwr))) (awdp (begin 4)) (dv 23)) '());22;100;(letrec* ((tbr -23) (f (/ -10 -18)) (xd (let* ((pwr 29)) (/ (* pwr (+ pwr pwr)) pwr))) (awdp (begin 4)) (dv 23)) '());22;300
(letrec* ((np -10) (mhmz 16) (abkhig 18)) (+ (/ (begin -6 (set! abkhig (if #t (* np 16) (/ (* 12 mhmz) 2))) mhmz (+ (- -26 (- (+ -21 21) 22)) mhmz)) 26) 2));40;13;(letrec* ((mhmz 16)) '());3;100;(letrec* ((mhmz 16)) '());3;100;(letrec* ((np -10) (mhmz 16)) '());4;400
(let ((rwhka (if #t 12 (/ -16 -20))) (kyeeus 4) (dssvdz (+ (/ -17 -3) -22)) (yei -28) (m 6)) (begin (if (= dssvdz -19) m (begin (* 18 (+ -3 10)) (+ kyeeus -22))) (begin yei (- kyeeus dssvdz)) (set! m (+ 6 -16)) (set! rwhka 26) (/ rwhka -10)));54;20;(let ((rwhka (dummy 2)) (dssvdz (+ (/ -17 -3) -22))) (begin (set! rwhka 26)));14;200;(let ((rwhka (dummy 2)) (dssvdz (+ (/ -17 -3) -22))) (begin (set! rwhka 26)));14;200;(let ((rwhka (if #t 12 (/ -16 -20))) (dssvdz (+ (/ -17 -3) -22))) (begin (set! rwhka 26)));18;300
(let ((fwo (* (let* ((fyjw 6)) fyjw) (/ 21 (if #t (* 18 14) (if #t 10 -5))))) (ejer (if #t (- 5 (if #f 18 -30)) (if (< 9 -11) -6 (if #f 8 17)))) (byxxzp (+ (/ -6 12) (if #t 23 -18))) (cj 5) (lr -17)) (+ lr lr));54;-3;(let ((fwo (* (let* ((fyjw 6)) fyjw) (/ 21 (if #t (* 18 14) (if #t 10 -5))))) (byxxzp (+ (/ -6 12) (if #t 23 -18)))) '());30;200;(let ((fwo (* (let* ((fyjw 6)) fyjw) (/ 21 (if #t (* 18 14) (if #t 10 -5))))) (byxxzp (+ (/ -6 12) (if #t 23 -18)))) '());30;300;(let ((fwo (* (let* ((fyjw 6)) fyjw) (/ 21 (if #t (* 18 14) (if #t 10 -5))))) (byxxzp (+ (/ -6 12) (if #t 23 -18)))) '());30;300
(letrec* ((w -1) (bru 23) (axh 1) (jghkpz -13) (ir -10)) (if #f -4 bru));10;17;(letrec* ((axh 1)) '());3;200;(letrec* ((axh 1)) '());3;300;(letrec* ((axh 1)) '());3;100
(let ((yyqjr (let* ((untpgo 28) (ut -9)) 24)) (fvaptj (begin 7 -4 -2)) (rmafmo (if #f (/ 3 6) 5)) (zo 25) (hk -24)) (if (< (* -15 (- 24 (- fvaptj 25))) 1) hk (begin (set! rmafmo (/ (+ (+ (- (+ fvaptj 24) rmafmo) 2) zo) 11)) zo (set! fvaptj (/ (- 5 fvaptj) -15)) -17 30)));62;-1;(let ((yyqjr (let* () 24)) (fvaptj (begin -2)) (rmafmo (dummy 2)) (zo 25) (hk -24)) (if (< (* -15 (- 24 (- fvaptj 25))) 1) '() (begin (set! rmafmo (/ (+ (+ (- (+ fvaptj 24) rmafmo) 2) zo) 11)) (set! fvaptj (/ (- 5 fvaptj) -15)))));51;100;(let ((yyqjr (let* () 24)) (fvaptj (begin -2)) (rmafmo (dummy 1)) (zo 25) (hk -24)) (if (< (* -15 (- 24 (- fvaptj 25))) 1) '() (begin (set! rmafmo (/ (+ (+ (- (+ fvaptj 24) rmafmo) 2) zo) 11)) (set! fvaptj (/ (- 5 fvaptj) -15)))));51;100;(let ((yyqjr (let* () 24)) (fvaptj (begin -2)) (rmafmo (if #f (/ 3 6) 5)) (zo 25) (hk -24)) (if (< (* -15 (- 24 (- fvaptj 25))) 1) '() (begin (set! rmafmo (/ (+ (+ (- (+ fvaptj 24) rmafmo) 2) zo) 11)) (set! fvaptj (/ (- 5 fvaptj) -15)))));55;400
(letrec* ((pj (begin (* -18 -8) (+ -4 -15) 19 26)) (kqa (- (let () 0) (if (< 12 0) -1 -14))) (odns 29) (sml -17) (nnv 3)) (/ sml 9));30;-13;(letrec* ((kqa (- (let () 0) (if (< 12 0) -1 -14))) (odns 29)) '());14;400;(letrec* ((kqa (- (let () 0) (if (< 12 0) -1 -14))) (odns 29)) '());14;200;(letrec* ((kqa (- (let () 0) (if (< 12 0) -1 -14))) (odns 29)) '());14;200
(let* ((woz -25) (p (+ (if (= -25 -3) (/ -27 (/ -20 -24)) (letrec* () -25)) -2)) (uio -21) (dhywu (let* () -17)) (qnnbur (if #t 1 -20)) (apzn 25)) (begin (set! p (let* ((hs (if #t 3 p)) (ssot p)) (let* () 2))) dhywu (begin (set! uio apzn) -1) (- (* woz qnnbur) dhywu) -10 -28));51;0;(let* ((woz -25) (p (+ (if (= -25 -3) (/ -27 (/ -20 -24)) (letrec* () -25)) -2)) (dhywu (let* () -17))) (begin (set! p (let* () (let* () 2)))));26;200;(let* ((woz -25) (p (+ (if (= -25 -3) (/ -27 (/ -20 -24)) (letrec* () -25)) -2)) (dhywu (let* () -17))) (begin (set! p (let* () (let* () 2)))));26;100;(let* ((woz -25) (p (+ (if (= -25 -3) (/ -27 (/ -20 -24)) (letrec* () -25)) -2)) (dhywu (let* () -17)) (apzn 25)) (begin (set! p (let* () (let* () 2)))));27;200
(let ((qnvwo (* 20 -13)) (shxe -19) (cs (letrec* ((ujuqrp 19)) (+ (- ujuqrp -30) 4))) (nkpuht (if #t (if #t 11 27) 16)) (icvm (- 28 27)) (oectz -23)) (let* ((bbppb (if (= -22 shxe) (/ shxe -7) qnvwo)) (cntmo (- nkpuht 22)) (lk (/ 12 24))) (begin lk 11 -17 bbppb)));51;-23;(let ((cs (letrec* ((ujuqrp 19)) (+ (- ujuqrp -30) 4))) (icvm (- 28 27))) '());15;300;(let ((cs (letrec* ((ujuqrp 19)) (+ (- ujuqrp -30) 4))) (icvm (- 28 27))) '());15;200;(let ((qnvwo (* 20 -13)) (shxe -19) (cs (letrec* ((ujuqrp 19)) (+ (- ujuqrp -30) 4))) (nkpuht (if #t (if #t 11 27) 16)) (icvm (- 28 27))) '());27;300
(letrec* ((qr 0) (mhg 20) (w (if (= -20 -21) (begin -27 -21) (if (< 1 2) (/ -30 5) (/ -19 25)))) (kh (+ (if #f -27 5) 0)) (ry (+ -8 8)) (mputup -4)) (* (/ 19 (if (= ry qr) (if #f ry ry) 12)) mhg));52;2;(letrec* ((qr 0) (w (if (= -20 -21) (begin -21) (if (< 1 2) (/ -30 5) (/ -19 25)))) (ry (+ -8 8))) '());27;100;(letrec* ((qr 0) (w (if (= -20 -21) (begin -21) (if (< 1 2) (/ -30 5) (/ -19 25)))) (ry (+ -8 8))) '());27;500;(letrec* ((qr 0) (w (if (= -20 -21) (begin -21) (if (< 1 2) (/ -30 5) (/ -19 25)))) (ry (+ -8 8))) '());27;200
(let* ((dlkp (* (* 16 (begin 5 8)) (begin -3 18))) (bafxr (if (< 21 -27) (begin 26 8) -11)) (dqs -24) (km -15) (x -15)) 22);25;15;(let* ((dlkp (* (* 16 (begin 8)) (begin 18)))) '());11;100;(let* ((dlkp (* (* 16 (begin 8)) (begin 18)))) '());11;400;(let* ((dlkp (* (* 16 (begin 8)) (begin 18)))) '());11;400
(let ((zftmfi -1) (z -25) (ht (letrec* ((wax 18)) wax)) (halv -2) (tju -26) (qe -21)) (begin (if (= 8 20) (/ (+ 20 -14) (let* () ht)) (/ (+ 24 qe) -24)) -3 (begin (set! zftmfi 1) halv) -5 (* halv tju) -2));41;-29;(let ((z -25) (ht (letrec* ((wax 18)) wax))) (begin (if (= 8 20) (/ (+ 20 -14) (let* () ht)) '())));20;300;(let ((z -25) (ht (letrec* ((wax 18)) wax))) (begin (if (= 8 20) (/ (+ 20 -14) (let* () ht)) '())));20;300;(let ((z -25) (ht (letrec* ((wax 18)) wax))) (begin (if (= 8 20) (/ (+ 20 -14) (let* () ht)) '())));20;500
(let ((v -29) (e (- -1 (let* () -15))) (kqre -1) (dzy (/ -9 -11)) (che -22)) (let* ((ux 8) (wbwnoe v)) (let ((o kqre)) -2)));19;21;(let ((e (- -1 (let* () -15)))) (let* ((ux 8)) '()));9;300;(let ((e (- -1 (let* () -15)))) (let* ((ux 8)) '()));9;500;(let ((v -29) (e (- -1 (let* () -15))) (kqre -1)) (let* ((ux 8)) '()));11;200
(letrec* ((hcrpqb 27) (noxko 22) (ctygzj (if (= -3 25) (if #f 2 15) 2)) (bazncm -21) (otey 23)) 4);16;-27;(letrec* ((bazncm -21)) '());3;200;(letrec* ((bazncm -21)) '());3;200;(letrec* ((bazncm -21)) '());3;400
(let ((wfikl -13) (llgxsy 20) (xi (if #f (+ -1 11) (begin -21 3))) (vqptj 23) (lgr -15) (f -2)) (* (begin (- f (if #t xi (* llgxsy -28))) (set! wfikl (if #f (- 2 -7) vqptj)) 23 (+ (- -6 vqptj) (+ (+ -13 vqptj) -24))) (begin (if (< (+ vqptj llgxsy) 24) (- wfikl -9) (* 20 f)) wfikl (+ lgr 9) xi)));73;-27;(let ((llgxsy 20) (vqptj 23)) '());4;300;(let ((llgxsy 20) (vqptj 23)) '());4;100;(let ((llgxsy 20) (vqptj 23)) '());4;100
(let ((hissv (+ 21 (- -23 -14))) (kboaja 22) (rbczv 28)) -3);11;-10;(let ((rbczv 28)) '());3;300;(let ((rbczv 28)) '());3;200;(let ((rbczv 28)) '());3;100
(let* ((ubl (/ (* (let ((eh -9)) (* eh eh)) (if #f (if #t (/ 9 12) -4) 12)) (if #t (let* ((yhxs -24)) yhxs) -17))) (hay (begin (/ -8 -28) -20 -14)) (dfbsoh (begin (if #f -22 -22) -28 -18)) (dgjy (* 14 -25)) (jklklh 21) (zujths -8)) ubl);48;17;(let* ((ubl (/ (* (let ((eh -9)) (* eh eh)) (if #f (if #t (/ 9 12) -4) 12)) (if #t (let* ((yhxs -24)) yhxs) -17))) (zujths -8)) '());29;200;(let* ((ubl (/ (* (let ((eh -9)) (* eh eh)) (if #f (if #t (/ 9 12) -4) 12)) (if #t (let* ((yhxs -24)) yhxs) -17))) (zujths -8)) '());29;100;(let* ((ubl (/ (* (let ((eh -9)) (* eh eh)) (if #f (if #t (/ 9 12) -4) 12)) (if #t (let* ((yhxs -24)) yhxs) -17))) (zujths -8)) '());29;100
(let* ((yl -9) (b -12) (kqnfn -14)) kqnfn);5;14;(let* ((kqnfn -14)) '());3;200;(let* ((kqnfn -14)) '());3;200;(let* ((kqnfn -14)) '());3;300
(let ((tn 12) (bx (if #f -4 -29)) (pq (begin 2 -23)) (bsa 3) (igm 5)) pq);12;-19;(let ((bx (if #f -4 -29))) '());6;400;(let ((bx (if #f -4 -29))) '());6;200;(let ((bx (if #f -4 -29))) '());6;300
(let* ((n (- (if #f 1 22) (if #t -20 (/ -25 11)))) (bcuc 2) (w 11) (s 22) (sisqu 29)) (/ (begin (- sisqu (- s -15)) 21 25) (begin (* n (- n (if #f 6 16))) (set! w (/ w (+ 12 -4))) (/ (- bcuc -3) -23) 22 22)));58;29;(let* ((w 11) (sisqu 29)) (/ (begin 25) (begin (set! w (/ w (+ 12 -4))) 22)));17;100;(let* ((w 11) (sisqu 29)) (/ (begin 25) (begin (set! w (/ w (+ 12 -4))) 22)));17;100;(let* ((w 11) (sisqu 29)) (/ (begin 25) (begin (set! w (/ w (+ 12 -4))) 22)));17;200
(let ((apsbls -2) (rbnngm (let* ((qx 26)) (- (* -29 8) (* (/ -21 2) 19)))) (ki (let* () 11)) (oxr -4) (lnwkc 24)) (if (< -16 ki) (/ 28 apsbls) (+ (begin (set! apsbls apsbls) 27 -19 -19) (/ (begin (- (/ oxr apsbls) (* (/ lnwkc apsbls) -22)) (set! rbnngm -24) lnwkc) (begin (- -25 -20) (set! rbnngm 28) ki)))));65;0;(let ((apsbls -2) (rbnngm (let* () (- (* -29 8) (* (/ -21 2) 19)))) (ki (let* () 11)) (lnwkc 24)) (if (< -16 ki) '() (+ (begin (set! apsbls apsbls) -19) (/ (begin lnwkc) (begin ki)))));37;300;(let ((apsbls -2) (rbnngm (let* () (- (* -29 8) (* (/ -21 2) 19)))) (ki (let* () 11)) (lnwkc 24)) (if (< -16 ki) '() (+ (begin (set! apsbls apsbls) -19) (/ (begin lnwkc) (begin ki)))));37;200;(let ((apsbls -2) (rbnngm (let* () (- (* -29 8) (* (/ -21 2) 19)))) (ki (let* () 11)) (lnwkc 24)) (if (< -16 ki) '() (+ (begin (set! apsbls apsbls) -19) (/ (begin lnwkc) (begin ki)))));37;200
(let ((pli (- 9 (+ (if #f (let* () -21) (if #f -23 -23)) (if #t -5 28)))) (prt (let ((ti (/ -25 -28)) (wq -1)) (if #f -1 21))) (qmqvxc (begin -19 17 -2)) (cpmadn (begin 21 -23)) (uzp (if #t 6 19)) (kp 18)) (* (begin (set! pli 7) (set! kp (/ (+ -20 -17) (/ qmqvxc 14))) pli) cpmadn));58;-9;(let ((pli (- 9 (+ (if #f (let* () -21) (if #f -23 -23)) (if #t -5 28)))) (prt (let () (if #f -1 21))) (cpmadn (begin -23))) '());26;400;(let ((pli (- 9 (+ (if #f (let* () -21) (if #f -23 -23)) (if #t -5 28)))) (prt (let () (if #f -1 21))) (cpmadn (begin -23))) '());26;300;(let ((pli (- 9 (+ (if #f (let* () -21) (if #f -23 -23)) (if #t -5 28)))) (prt (let () (if #f -1 21))) (qmqvxc (begin -2)) (cpmadn (begin -23))) '());28;200
(letrec* ((ep 17) (jav -30) (wxwqk (/ 1 (+ -17 28))) (ophv (let* () 10)) (gerb 29) (so 26)) (- 27 18));18;23;(letrec* ((ophv (let* () 10)) (so 26)) '());5;100;(letrec* ((ophv (let* () 10)) (so 26)) '());5;200;(letrec* ((ophv (let* () 10)) (so 26)) '());5;600
(let* ((etqg 27) (davif (if (< -28 -5) 6 -16)) (xew (begin -23 7 -21)) (cbkbfb 9) (oumsmx 2) (teqk -20)) (/ (+ xew 16) (/ -1 (+ 2 etqg))));29;19;(let* ((davif (if (< -28 -5) 6 -16))) '());9;100;(let* ((davif (if (< -28 -5) 6 -16))) '());9;100;(let* ((davif (if (< -28 -5) 6 -16))) '());9;100
(let* ((yf 3) (qnqxl (+ -1 -26)) (qnjmii 24) (pimwu -25)) (begin (if #t -8 qnjmii) 2 18));15;10;(let* ((qnjmii 24)) '());3;300;(let* ((qnjmii 24)) '());3;200;(let* ((qnjmii 24)) '());3;200
(let* ((ws -11) (gez (if (= 6 7) 9 (let* () 27))) (s (begin 22 -28)) (shvt (if #f -15 22)) (t -5)) (+ 29 7));22;-1;(let* ((gez (if (= 6 7) 9 (let* () 27))) (t -5)) '());11;200;(let* ((gez (if (= 6 7) 9 (let* () 27))) (t -5)) '());11;500;(let* ((gez (if (= 6 7) 9 (let* () 27))) (t -5)) '());11;200
(letrec* ((osp -12) (mr (* (* -14 24) (if #t (- 23 -18) (if (= -10 -7) 11 (if #f 22 8))))) (vyp (let* ((jvsnz 29)) (if #f -24 jvsnz))) (wujlp -22) (hfhtbd (if #f 20 24)) (uteade -5)) 4);37;-16;(letrec* ((vyp (let* ((jvsnz 29)) (if #f -24 jvsnz)))) '());8;200;(letrec* ((vyp (let* ((jvsnz 29)) (if #f -24 jvsnz)))) '());8;200;(letrec* ((vyp (let* ((jvsnz 29)) (if #f -24 jvsnz)))) '());8;100
(let* ((cflw 4) (aqdiga -17) (ozpbu (let* ((scwif 26)) 2)) (qepz -4) (wyflr 15) (lpyw -11)) (* qepz (if #f (/ 18 -25) (/ (if #f (begin (/ ozpbu -28) (- -5 -19)) -2) wyflr))));33;6;(let* ((cflw 4) (ozpbu (let* () 2))) '());5;200;(let* ((cflw 4) (ozpbu (let* () 2))) '());5;100;(let* ((cflw 4) (ozpbu (let* () 2))) '());5;200
(let* ((vd 20) (vasum (/ (* 18 (if (< 1 26) 15 -11)) 11)) (auzpqz -27) (dg 8) (afc (if #f -14 26)) (wwa -5)) (if (= afc (+ -24 (- -5 wwa))) (letrec* ((jxr (begin wwa 8)) (o (if #f vd 26)) (eilapb -4)) 16) (+ wwa -5)));47;-2;(let* ((vd 20) (afc (if #f -14 26)) (wwa -5)) (if (= afc (+ -24 (- -5 wwa))) (letrec* ((o (if #f vd 26))) '()) '()));25;300;(let* ((vd 20) (afc (if #f -14 26)) (wwa -5)) (if (= afc (+ -24 (- -5 wwa))) (letrec* ((o (if #f vd 26))) '()) '()));25;200;(let* ((vd 20) (afc (if #f -14 26)) (wwa -5)) (if (= afc (+ -24 (- -5 wwa))) (letrec* ((o (if #f vd 26))) '()) '()));25;200
(let* ((hlqali (- (/ (/ -11 (+ -30 22)) (* (* -15 -3) 6)) (letrec* ((qi 4)) (- 9 15)))) (isu -5) (rgi -20) (ns 21) (fonfjw 12)) -7);30;-9;(let* ((hlqali (- (/ (/ -11 (+ -30 22)) (* (* -15 -3) 6)) (letrec* ((qi 4)) (- 9 15)))) (isu -5)) '());27;200;(let* ((hlqali (- (/ (/ -11 (+ -30 22)) (* (* -15 -3) 6)) (letrec* ((qi 4)) (- 9 15)))) (isu -5)) '());27;500;(let* ((hlqali (- (/ (/ -11 (+ -30 22)) (* (* -15 -3) 6)) (letrec* ((qi 4)) (- 9 15)))) (isu -5)) '());27;200
(let ((c -26) (nj -22) (i (- -17 (if (= -10 28) (if #t -6 4) -26))) (ey 16) (cix -6) (cwlsr -6)) -11);20;-7;(let ((cwlsr -6)) '());3;100;(let ((cwlsr -6)) '());3;300;(let ((cwlsr -6)) '());3;300
(let ((iocoy (/ -19 (begin -5 -26))) (hbcqt 6) (dciuk (/ (begin 27 12) (begin -28 7))) (sjwel (+ 11 (if #f 19 -25))) (dqwu (if #f -14 19)) (iqe 9)) (* (+ -25 (* -9 -5)) dciuk));38;-23;(let ((hbcqt 6)) '());3;200;(let ((hbcqt 6)) '());3;400;(let ((hbcqt 6)) '());3;100
(let ((trn (if #f (if #f (let* ((olcy -4)) (- (- (- olcy 28) -7) olcy)) -20) -20)) (vvrlc (if (< 10 12) -14 -2)) (rrbqt 17) (jffmu (* (- 20 -7) (if #f -16 14))) (coyd -13) (ovzgc 15)) (begin (set! rrbqt (if (= 26 jffmu) (/ trn (- (- -30 15) -26)) (* (/ trn jffmu) ovzgc))) -25 rrbqt (+ 2 10)));69;17;(let ((trn (if #f (if #f (let* ((olcy -4)) (- (- (- olcy 28) -7) olcy)) -20) -20)) (ovzgc 15)) '());21;300;(let ((trn (if #f (if #f (let* ((olcy -4)) (- (- (- olcy 28) -7) olcy)) -20) -20)) (ovzgc 15)) '());21;300;(let ((trn (if #f (if #f (let* ((olcy -4)) (- (- (- olcy 28) -7) olcy)) -20) -20)) (jffmu (* (- 20 -7) (if #f -16 14))) (ovzgc 15)) '());31;200
(letrec* ((kbf (/ -8 30)) (sk (- -24 23)) (h 21)) 5);11;4;(letrec* ((sk (- -24 23))) '());6;200;(letrec* ((sk (- -24 23))) '());6;100;(letrec* ((sk (- -24 23))) '());6;300
(let* ((tgxoxi 2)) (/ (* -9 tgxoxi) (begin (* tgxoxi tgxoxi) -17)));14;12;(let* ((tgxoxi 2)) '());3;300;(let* ((tgxoxi 2)) '());3;200;(let* ((tgxoxi 2)) '());3;500
