expression; size; sliced on; sign slice; sign size; sign time (ns) ; parity slice; parity size; parity time ; concrete slice; concrete size; concrete time 
(letrec* ((uelvf (* (begin 2 -18) (begin 29 3))) (ugz (if (= 8 -18) (if (= 19 -1) 22 (if #t 0 21)) (begin -17 -19))) (zjs (let () -22)) (vk -15) (udn 30)) 11);32;-4;(letrec* ((ugz (if (= 8 -18) (if (= 19 -1) 22 (if #t 0 21)) (begin -19))) (zjs (let () -22))) '());21;200;(letrec* ((ugz (if (= 8 -18) (if (= 19 -1) 22 (if #t 0 21)) (begin -19))) (zjs (let () -22))) '());21;100;(letrec* ((ugz (if (= 8 -18) (if (= 19 -1) 22 (if #t 0 21)) (begin -19))) (zjs (let () -22))) '());21;200
(let* ((kwu -24) (uffrsr 20) (htshh -22) (ot -18) (t (+ -19 -27)) (pgnb -30)) (begin (if #t 9 (+ htshh (+ -26 t))) (set! t (- (+ kwu 18) pgnb)) (if #t (if #t pgnb -4) -5) (+ (/ -15 kwu) 29) htshh (+ kwu pgnb)));48;-22;(let* ((htshh -22)) '());3;200;(let* ((htshh -22)) '());3;200;(let* ((kwu -24) (htshh -22) (pgnb -30)) '());5;300
(let ((n 29) (pw (if #f (- (+ -8 -24) 9) (- (+ 23 2) (/ 3 -3)))) (ycxmh -20) (vuo (if #f -29 16)) (ddim -2)) (if #f (/ 21 -10) (if #t (begin ddim (set! ycxmh -12) ddim (+ -13 (+ (/ -8 (* n n)) -24))) (begin (/ -20 -3) (set! n (- vuo vuo)) vuo))));64;-8;(let ((ycxmh -20)) (if #f '() (if #t (begin (set! ycxmh -12)) '())));11;200;(let ((ycxmh -20)) (if #f '() (if #t (begin (set! ycxmh -12)) '())));11;100;(let ((ycxmh -20) (vuo (if #f -29 16))) (if #f '() (if #t (begin (set! ycxmh -12)) '())));15;500
(let* ((fwh (- 24 (begin 15 27))) (v (begin -4 -4 -6 -22)) (cyfak -29) (pemru (begin -12 8)) (lb (if #f -28 -28)) (xez 12)) xez);22;7;(let* ((v (begin -22))) '());4;400;(let* ((v (begin -22))) '());4;200;(let* ((v (begin -22))) '());4;400
(let* ((lh -26) (nalpy (/ 16 (+ (if #f 11 29) (if #f -29 -9)))) (dpq -15) (puptre -4) (q -4)) 8);19;18;(let* ((puptre -4)) '());3;300;(let* ((puptre -4)) '());3;300;(let* ((puptre -4)) '());3;400
(let* ((kcbtg (- -1 (begin -29 10 -29))) (bo -5) (xy 3) (abee 2) (spb -23) (dasen 4)) (* (begin xy -3 0 -6) (let* ((fan abee) (k (* abee (+ -15 xy)))) (if (< (/ -13 (+ (- 15 (/ abee -24)) (- spb (- 7 (* 15 -24))))) -23) (+ (/ 23 bo) (- (+ dasen -3) kcbtg)) 21))));69;3;(let* ((kcbtg (dummy 3)) (bo -5) (abee 2) (spb -23) (dasen 4)) (* (begin -6) (let* () (if (< (/ -13 (+ (- 15 (/ abee -24)) (- spb (- 7 (* 15 -24))))) -23) (+ (/ 23 bo) (- (+ dasen -3) kcbtg)) 21))));53;100;(let* ((kcbtg (dummy 2)) (bo -5) (abee 2) (spb -23) (dasen 4)) (* (begin -6) (let* () (if (< (/ -13 (+ (- 15 (/ abee -24)) (- spb (- 7 (* 15 -24))))) -23) (+ (/ 23 bo) (- (+ dasen -3) kcbtg)) 21))));53;400;(let* ((kcbtg (dummy 3)) (bo -5) (xy 3) (abee 2) (spb -23) (dasen 4)) (* (begin -6) (let* () (if (< (/ -13 (+ (- 15 (/ abee -24)) (- spb (- 7 (* 15 -24))))) -23) (+ (/ 23 bo) (- (+ dasen -3) kcbtg)) 21))));54;500
(let ((zavx (if #t (/ (/ (begin -2 18) (if #f (* 23 29) -13)) (begin 14 11)) (if #f (if #t (begin -22 -11) (begin 18 -24)) (if #t (+ (- -17 -25) (if #f 22 23)) (if #f 13 0))))) (d (if #t (begin (if #f 7 26) 12 -25) (if #t 12 (- 20 1)))) (dqgitk (begin -27 -10)) (agjw (begin -24 -10)) (yuxshf 2) (jz 23)) (begin (set! yuxshf (/ (let* () -8) (let* () -10))) (letrec* () -23) 7 zavx 29));83;17;(let ((yuxshf 2) (jz 23)) (begin (set! yuxshf (/ (let* () -8) (let* () -10)))));11;100;(let ((yuxshf 2) (jz 23)) (begin (set! yuxshf (/ (let* () -8) (let* () -10)))));11;100;(let ((yuxshf 2) (jz 23)) (begin (set! yuxshf (/ (let* () -8) (let* () -10)))));11;200
(let* ((jsr 24) (l (begin -30 8 -11)) (weo -14) (feht -3) (ctnlc -30)) jsr);10;-15;(let* ((jsr 24)) '());3;200;(let* ((jsr 24)) '());3;200;(let* ((jsr 24)) '());3;200
(let* ((yl 0) (r 16) (h -11) (nmis (let* () -14)) (qykbv (if #t -16 0)) (z 0)) (if #t (- (/ qykbv 5) 24) (/ h (let* ((awxhms -1)) qykbv))));26;19;(let* ((h -11) (nmis (let* () -14)) (qykbv (dummy -2)) (z 0)) (if #t '() (/ h (let* () qykbv))));16;200;(let* ((h -11) (nmis (let* () -14)) (qykbv (dummy 2)) (z 0)) (if #t '() (/ h (let* () qykbv))));16;200;(let* ((h -11) (nmis (let* () -14)) (qykbv (dummy -2)) (z 0)) (if #t '() (/ h (let* () qykbv))));16;200
(let ((rxyuj 16) (t -30) (ltg (* 27 (/ -19 (- -4 -29)))) (uqso (+ (if #f -19 -4) (- 2 2))) (raxon (if #t 29 -24)) (bg 9)) (+ (- 27 rxyuj) (/ -3 -24)));38;-8;(let ((raxon (if #t 29 -24))) '());6;300;(let ((raxon (if #t 29 -24))) '());6;100;(let ((raxon (if #t 29 -24))) '());6;200
(let ((rsyoep 5) (x (/ 14 (+ 19 (- (if #f -18 15) 8)))) (hxz (begin 1 -16)) (nr (let* () 23)) (ssocdk -26) (zv 14)) (begin (* x (/ -4 hxz)) (+ (- (- zv rsyoep) (+ 20 (+ (+ nr -22) (/ (/ -22 -9) hxz)))) (/ zv zv)) (/ hxz x) (* -27 -4) (* (+ zv zv) (- x nr)) 16));77;13;(let ((x (/ 14 (+ 19 (- (if #f -18 15) 8)))) (nr (let* () 23))) '());17;600;(let ((x (/ 14 (+ 19 (- (if #f -18 15) 8)))) (nr (let* () 23))) '());17;200;(let ((x (/ 14 (+ 19 (- (if #f -18 15) 8)))) (nr (let* () 23))) '());17;200
(letrec* ((kdybai (begin (if #t -18 (begin 7 -11)) (/ (+ 17 -8) (if #t 21 8)) -9 30 -20)) (c -25) (qki (if (= 27 19) -23 (/ 25 8))) (d 25) (q -4) (glx -12)) (* 3 -24));39;26;(letrec* ((qki (if (= 27 19) -23 (/ 25 8)))) '());12;200;(letrec* ((qki (if (= 27 19) -23 (/ 25 8)))) '());12;100;(letrec* ((qki (if (= 27 19) -23 (/ 25 8)))) '());12;300
(let* ((cicdp (begin -19 -22)) (k -19) (lwfext (/ 19 21)) (hw (if #f -1 18)) (u 0)) 18);15;20;(let* ((cicdp (begin -22))) '());4;100;(let* ((cicdp (begin -22))) '());4;200;(let* ((cicdp (begin -22))) '());4;200
(let* ((oxbkdu (/ (begin -9 27 -15) (if #t (if #f (* -11 (if #f 2 13)) -25) (begin 13 26)))) (r 2) (aj (letrec* ((qktytv -24)) (if #t qktytv qktytv))) (el 21) (cjuon (+ -7 27)) (uf -18)) (begin (set! aj (begin (set! uf (/ -6 oxbkdu)) 1)) (set! el (+ 29 -17)) (set! cjuon r) 3));52;19;(let* ((r 2) (aj (letrec* ((qktytv -24)) (if #t qktytv qktytv)))) '());9;300;(let* ((r 2) (aj (letrec* ((qktytv -24)) (if #t qktytv qktytv)))) '());9;100;(let* ((oxbkdu (/ (begin -15) (if #t (if #f (* -11 (if #f 2 13)) -25) (begin 26)))) (r 2) (aj (letrec* ((qktytv -24)) (if #t qktytv qktytv)))) '());27;200
(let* ((bawdeq (begin 22 -2)) (ng (if #f 5 5)) (x -28)) ng);10;12;(let* ((bawdeq (begin -2))) '());4;100;(let* ((bawdeq (begin -2))) '());4;200;(let* ((bawdeq (begin -2))) '());4;400
(let* ((mwkum -8) (haln (begin -12 -18)) (jc (- 2 -12)) (ri 30)) 8);11;11;(let* ((ri 30)) '());3;200;(let* ((ri 30)) '());3;200;(let* ((ri 30)) '());3;300
(let ((z 25) (ztwem 1) (jqwl (begin 4 12 28)) (ws -10) (oyw 23) (bq 11)) jqwl);11;13;(let ((ztwem 1)) '());3;600;(let ((ztwem 1)) '());3;300;(let ((ztwem 1)) '());3;500
(let ((ryk (letrec* ((tc 3) (r -5)) 20)) (fnqbl 29) (mvkpn (/ (begin -22 -3) 28)) (zlpm (if #f -8 4)) (t 14) (p -22)) mvkpn);19;-29;(let ((ryk (letrec* () 20)) (fnqbl 29)) '());5;200;(let ((ryk (letrec* () 20)) (fnqbl 29)) '());5;400;(let ((ryk (letrec* () 20)) (fnqbl 29)) '());5;400
(letrec* ((x 19) (obwx (begin 7 -25 -8)) (pr 13) (p -17) (j -29)) 6);10;24;(letrec* ((j -29)) '());3;200;(letrec* ((j -29)) '());3;1100;(letrec* ((j -29)) '());3;200
(let* ((ezscqr -26) (k -20) (qk (- (+ (/ -16 18) (+ 8 -8)) -1)) (gncshn (begin -13 11)) (v 4) (cllgm -9)) (let* ((sl qk) (wddjj (- (* (+ ezscqr -23) (+ 1 27)) (+ qk qk))) (tqzhy (/ qk (+ (/ gncshn k) (* -11 (- -22 (* -5 (/ -3 -22))))))) (iubsi 23)) (* (let* ((llknku (/ 28 -30))) (+ 13 -29)) (+ cllgm (/ 25 -22)))));80;14;(let* ((gncshn (begin 11)) (cllgm -9)) (let* () (* (let* () (+ 13 -29)) (+ cllgm (/ 25 -22)))));19;200;(let* ((gncshn (begin 11)) (cllgm -9)) (let* () (* (let* () (+ 13 -29)) (+ cllgm (/ 25 -22)))));19;200;(let* ((ezscqr -26) (k -20) (qk (- (+ (/ -16 18) (+ 8 -8)) -1)) (gncshn (begin 11)) (cllgm -9)) (let* () (* (let* () (+ 13 -29)) (+ cllgm (/ 25 -22)))));34;600
(let ((vhlduy (/ -16 23)) (zkcqp (begin -2 26)) (gys (/ (if #t (if #f -2 0) -4) 18)) (vqy (if (= 10 21) -25 9)) (cxem 8) (lolvy 17)) -28);28;-3;(let ((vqy (if (= 10 21) -25 9))) '());9;300;(let ((vqy (if (= 10 21) -25 9))) '());9;300;(let ((vqy (if (= 10 21) -25 9))) '());9;200
(letrec* ((jme -28) (yqz -16) (ycesy (begin 1 30)) (jd (if #t 24 18)) (ushl -27)) (* -21 (begin jme jme yqz)));18;-18;(letrec* ((ycesy (begin 30))) '());4;500;(letrec* ((ycesy (begin 30))) '());4;300;(letrec* ((ycesy (begin 30))) '());4;100
(let* ((mf (if #t -30 7)) (jdnc (- (/ (/ (+ -25 -28) 24) (if #f (if #f -1 -16) -11)) (if (= 1 -9) -4 13))) (gk 1) (yanb 0) (mwq (if #f -6 -21)) (yp -11)) (begin (+ 2 (- (+ (/ 19 (/ 5 mf)) 16) 25)) 28));55;-8;(let* ((mwq (if #f -6 -21))) '());6;100;(let* ((mwq (if #f -6 -21))) '());6;100;(let* ((mwq (if #f -6 -21))) '());6;200
(let* ((ttjj (if #f (/ -26 5) (let ((pyxy -17) (h -24)) (+ (* pyxy (+ -1 15)) (* (+ (- -16 18) h) (/ (- h h) (* (- 29 h) -1))))))) (n (let ((jiiu 6)) (+ -16 jiiu))) (tjrgyk (- 6 5)) (ocd (if (< -21 -28) 7 16)) (pw -10) (xmipf 11)) (begin (+ (begin (set! n -21) 15) (* 22 (* (* 30 12) -6))) (+ (- -7 tjrgyk) ocd) (if #f n pw) -16 -18));90;-18;(let* ((ttjj (if #f (/ -26 5) (let ((pyxy -17) (h -24)) (+ (* pyxy (+ -1 15)) (* (+ (- -16 18) h) (/ (- h h) (* (- 29 h) -1))))))) (n (let ((jiiu 6)) (+ -16 jiiu)))) '());48;100;(let* ((ttjj (if #f (/ -26 5) (let ((pyxy -17) (h -24)) (+ (* pyxy (+ -1 15)) (* (+ (- -16 18) h) (/ (- h h) (* (- 29 h) -1))))))) (n (let ((jiiu 6)) (+ -16 jiiu)))) '());48;200;(let* ((ttjj (if #f (/ -26 5) (let ((pyxy -17) (h -24)) (+ (* pyxy (+ -1 15)) (* (+ (- -16 18) h) (/ (- h h) (* (- 29 h) -1))))))) (n (let ((jiiu 6)) (+ -16 jiiu)))) '());48;700
