expression; size; sliced on; concrete slice; concrete size; concrete time (ns) ; sign slice; sign size;sign time ; parity slice; parity size; parity time 
(let* ((ct (/ 7 24)) (n 28) (hb 10) (zzwq -10) (vu (if #t -15 26)) (m -9)) (begin (* (- (let* () -12) (if #t (/ (- 12 (* m hb)) (/ (- n (/ -10 -11)) zzwq)) (if #t -19 -9))) (/ m (let* () m))) 18 (/ 11 (+ -27 -23)) (/ -26 -8) -22 (* vu -29)));67;-23;(let* ((n 28) (hb 10) (zzwq -10) (m -9)) (begin (* (- (let* () -12) (if #t (/ (- 12 (* m hb)) (/ (- n (/ -10 -11)) zzwq)) (if #t -19 -9))) (/ m (let* () m)))));42;200;(let* ((n 28) (hb 10) (zzwq -10) (m -9)) (begin (* (- (let* () -12) (if #t (/ (- 12 (* m hb)) (/ (- n (/ -10 -11)) zzwq)) (if #t -19 -9))) (/ m (let* () m)))));42;200;(let* ((n 28) (hb 10) (zzwq -10) (m -9)) (begin (* (- (let* () -12) (if #t (/ (- 12 (* m hb)) (/ (- n (/ -10 -11)) zzwq)) (if #t -19 -9))) (/ m (let* () m)))));42;200
(let ((l -28) (pgc 18) (j -19) (dhz (/ -23 -13)) (wz -21)) (+ (begin (set! pgc (- (+ 2 l) (* (/ (+ -6 dhz) pgc) (if #t dhz (* j pgc))))) (set! dhz (let* () (- dhz (* -14 (* pgc (* (/ pgc -3) (- -4 (* (* wz (+ wz -29)) 2)))))))) (* l 2) -17 l) (* (+ 11 30) (begin l (set! wz 17) (set! j pgc) (+ pgc 8)))));87;-17;(let ((l -28) (pgc 18) (j -19) (dhz (/ -23 -13)) (wz -21)) (+ (begin (set! pgc (- (+ 2 l) (* (/ (+ -6 dhz) pgc) (if #t dhz (* j pgc))))) (set! dhz (let* () (- dhz (* -14 (* pgc (* (/ pgc -3) (- -4 (* (* wz (+ wz -29)) 2)))))))) l) (* (+ 11 30) (begin (+ pgc 8)))));77;200;(let ((l -28) (pgc 18) (j -19) (dhz (/ -23 -13)) (wz -21)) (+ (begin (set! pgc (- (+ 2 l) (* (/ (+ -6 dhz) pgc) (if #t dhz (* j pgc))))) (set! dhz (let* () (- dhz (* -14 (* pgc (* (/ pgc -3) (- -4 (* (* wz (+ wz -29)) 2)))))))) l) (* (+ 11 30) (begin (+ pgc 8)))));77;100;(let ((l -28) (pgc 18) (j -19) (dhz (/ -23 -13)) (wz -21)) (+ (begin (set! pgc (- (+ 2 l) (* (/ (+ -6 dhz) pgc) (if #t dhz (* j pgc))))) (set! dhz (let* () (- dhz (* -14 (* pgc (* (/ pgc -3) (- -4 (* (* wz (+ wz -29)) 2)))))))) l) (* (+ 11 30) (begin (+ pgc 8)))));77;200
(letrec* ((mlx (letrec* ((bigr -30)) bigr)) (rafof (let* ((t 1)) -19)) (wogqyg 24) (zitr -10) (svlpry -6)) (- (begin (set! zitr (/ 9 30)) -13 wogqyg) (begin (let ((fxziq (/ rafof (- svlpry -5)))) (/ 13 fxziq)) (set! zitr (if (< -11 zitr) -6 (/ -25 (+ 6 16)))) (* svlpry -27) wogqyg 4)));53;21;(letrec* ((mlx (letrec* ((bigr -30)) bigr)) (rafof (let* () -19)) (wogqyg 24) (zitr -10)) (- (begin (set! zitr (/ 9 30)) wogqyg) (begin 4)));19;200;(letrec* ((mlx (letrec* ((bigr -30)) bigr)) (rafof (let* () -19)) (wogqyg 24) (zitr -10)) (- (begin (set! zitr (/ 9 30)) wogqyg) (begin (set! zitr (if (< -11 zitr) -6 (/ -25 (+ 6 16)))) 4)));33;300;(letrec* ((mlx (letrec* ((bigr -30)) bigr)) (rafof (let* () -19)) (wogqyg 24) (zitr -10)) (- (begin (set! zitr (/ 9 30)) wogqyg) (begin (set! zitr (if (< -11 zitr) -6 (/ -25 (+ 6 16)))) 4)));33;300
(let ((vee (/ -18 (let ((xgwfk 23) (k 4)) (if #f (+ k 19) -15)))) (bxryi -19) (kaiuso (+ (* -5 3) 14)) (ubsa -11) (ngwe (if #f 9 18)) (nqgs -3)) nqgs);29;-3;(let ((vee (/ -18 (let ((xgwfk 23) (k 4)) (if #f (+ k 19) -15)))) (ubsa -11)) '());16;400;(let ((vee (/ -18 (let ((xgwfk 23) (k 4)) (if #f (+ k 19) -15)))) (ubsa -11)) '());16;300;(let ((vee (/ -18 (let ((xgwfk 23) (k 4)) (if #f (+ k 19) -15)))) (ubsa -11)) '());16;100
(let* ((s 23) (wmddai (+ -27 (if (< 28 -11) (if (= 3 16) -21 (if #t -30 23)) 13))) (exrijg (if #f (+ (* -3 19) 11) -8)) (jfctnf (let () -30)) (d (if #f -30 -20)) (l 27)) (/ -22 (+ (let* ((ardkdk 30) (smrtn jfctnf)) (if (= wmddai (* (/ -12 28) d)) -13 (/ (/ (/ (+ l 28) wmddai) smrtn) 18))) -15)));72;5;(let* ((wmddai (+ -27 (if (< 28 -11) (if (= 3 16) -21 (if #t -30 23)) 13))) (jfctnf (let () -30)) (d (if #f -30 -20)) (l 27)) (/ -22 (+ (let* ((smrtn (dummy 6))) (if (= wmddai (* (/ -12 28) d)) -13 (/ (/ (/ (+ l 28) wmddai) smrtn) 18))) -15)));62;300;(let* ((wmddai (+ -27 (if (< 28 -11) (if (= 3 16) -21 (if #t -30 23)) 13))) (jfctnf (let () -30)) (d (if #f -30 -20)) (l 27)) (/ -22 (+ (let* ((smrtn (dummy 6))) (if (= wmddai (* (/ -12 28) d)) -13 (/ (/ (/ (+ l 28) wmddai) smrtn) 18))) -15)));62;400;(let* ((wmddai (+ -27 (if (< 28 -11) (if (= 3 16) -21 (if #t -30 23)) 13))) (jfctnf (let () -30)) (d (if #f -30 -20)) (l 27)) (/ -22 (+ (let* ((smrtn (dummy 6))) (if (= wmddai (* (/ -12 28) d)) -13 (/ (/ (/ (+ l 28) wmddai) smrtn) 18))) -15)));62;100
(let* ((j 2)) (begin (set! j (begin (if #t 9 j) 11 j)) 5 j 22 -7));15;-11;(let* ((j 2)) (begin (set! j (begin j))));6;200;(let* ((j 2)) (begin (set! j (begin j))));6;200;(let* ((j 2)) (begin (set! j (begin j))));6;900
(let* ((oxp -17) (bqa -8) (wg -9) (n -6)) (begin (set! oxp (- 2 (/ (+ 25 27) (- wg 10)))) (/ oxp (if #t bqa (/ (+ oxp (/ n (* (+ -12 21) (* (- 21 -23) 23)))) 7))) (+ (+ 17 (/ 30 1)) bqa) -6 17));60;-7;(let* ((bqa -8)) '());3;100;(let* ((bqa -8)) '());3;200;(let* ((bqa -8)) '());3;100
(let* ((azayeq (- (if #f (if #t 18 7) -25) (let ((mn 26)) (if #f -29 (if #t 3 20))))) (ypna (if (< -15 -20) (begin 2 6 -19) (if #f -21 -21))) (ycsnzu (begin 19 9)) (c (if #f -15 -12)) (nq (- -30 -29)) (p -29)) azayeq);45;-18;(let* ((azayeq (- (if #f (if #t 18 7) -25) (let ((mn 26)) (if #f -29 (if #t 3 20)))))) '());20;300;(let* ((azayeq (- (if #f (if #t 18 7) -25) (let ((mn 26)) (if #f -29 (if #t 3 20)))))) '());20;200;(let* ((azayeq (- (if #f (if #t 18 7) -25) (let ((mn 26)) (if #f -29 (if #t 3 20)))))) '());20;200
(let* ((uqirjt -3) (iiyzli -29) (fsp (let* () -20)) (go 26) (dus 19)) (* go -19));11;24;(let* ((fsp (let* () -20)) (dus 19)) '());5;100;(let* ((fsp (let* () -20)) (dus 19)) '());5;300;(let* ((fsp (let* () -20)) (dus 19)) '());5;200
(let ((uebvk -21) (qjwcp (+ 8 (begin -2 3))) (hsg -4) (jbuoy (/ 26 22)) (yvdcp 14)) (begin (set! qjwcp 19) (if #f -7 qjwcp) (set! hsg hsg) 4));24;-10;(let ((uebvk -21) (hsg -4)) (begin (set! hsg hsg)));6;100;(let ((uebvk -21) (hsg -4)) (begin (set! hsg hsg)));6;500;(let ((uebvk -21)) '());3;300
(let* ((groab (if #f 3 (letrec* ((dq -17)) (* dq (/ -26 (/ (* 13 dq) -14)))))) (cvb -26) (nafnz -29) (qbtlf -21) (kgte -16)) (- groab (letrec* ((bskmbd 2)) groab)));29;-13;(let* ((groab (if #f 3 (letrec* ((dq -17)) (* dq (/ -26 (/ (* 13 dq) -14))))))) (- groab (letrec* ((bskmbd 2)) groab)));25;100;(let* ((groab (if #f 3 (letrec* ((dq -17)) (* dq (/ -26 (/ (* 13 dq) -14))))))) (- groab (letrec* ((bskmbd 2)) groab)));25;300;(let* ((groab (if #f 3 (letrec* ((dq -17)) (* dq (/ -26 (/ (* 13 dq) -14))))))) (- groab (letrec* ((bskmbd 2)) groab)));25;100
(let ((q -27) (s (- (if #f -15 -8) 13)) (ulsyf (+ 5 -20)) (hae 13)) (* (let ((dq (/ 20 q)) (iyytk (if #f (+ -10 (/ (+ -2 -21) -2)) (* 25 (+ (* (+ -5 -29) (* 29 (/ 14 (+ (- -26 hae) 30)))) (- (+ 17 ulsyf) 0))))) (dc (+ (- (+ -28 -29) -15) (* (* -4 (- s ulsyf)) (+ 4 (+ -9 s)))))) (+ 28 q)) -25));94;16;(let ((q -27) (ulsyf (+ 5 -20))) (* (let () (+ 28 q)) -25));14;200;(let ((q -27) (ulsyf (+ 5 -20))) (* (let () (+ 28 q)) -25));14;200;(let ((q -27) (ulsyf (+ 5 -20))) (* (let () (+ 28 q)) -25));14;200
(let* ((usk (- (begin 9 -30) 17)) (o (begin 7 23)) (lyft (- 15 15)) (qom -3)) 4);16;0;(let* ((usk (- (begin -30) 17))) '());7;200;(let* ((usk (- (begin -30) 17))) '());7;400;(let* ((usk (- (begin -30) 17))) '());7;500
(letrec* ((r (* 23 (+ (+ (if #f 17 7) (+ -8 8)) -7))) (k 5) (uhtq 0) (agpkfj (if #f 20 -6)) (ynikcp 26)) (begin (set! k (if (< -18 -2) (begin 28 16) (- (/ r -12) (/ ynikcp uhtq)))) (begin (set! uhtq r) -27) 17 agpkfj (+ (* -1 ynikcp) 16)));57;-2;(letrec* ((agpkfj (if #f 20 -6)) (ynikcp 26)) '());7;300;(letrec* ((agpkfj (if #f 20 -6)) (ynikcp 26)) '());7;200;(letrec* ((agpkfj (if #f 20 -6)) (ynikcp 26)) '());7;100
(let* ((im (* (if #f -18 -22) -30)) (uzszpz (+ 7 22)) (jzn (+ (begin 4 -13) (begin -29 -25))) (qpauzs -7) (cbqrk 26) (fzr 0)) (begin (set! im (* (begin (set! qpauzs -18) uzszpz) (begin -11 jzn 4))) (let ((fmldws uzszpz)) 21) (set! qpauzs -26) (set! cbqrk (- -17 uzszpz)) (- cbqrk -22) -3));50;6;(let* ((im (dummy 2)) (uzszpz (+ 7 22)) (qpauzs -7)) (begin (set! im (* (begin (set! qpauzs -18) uzszpz) (begin 4))) (let ((fmldws uzszpz)) '())));22;200;(let* ((im (dummy 2)) (uzszpz (+ 7 22)) (qpauzs -7)) (begin (set! im (* (begin (set! qpauzs -18) uzszpz) (begin 4))) (let ((fmldws uzszpz)) '())));22;400;(let* ((im (dummy 2)) (uzszpz (dummy 1)) (qpauzs -7)) (begin (set! im (* (begin (set! qpauzs -18) uzszpz) (begin 4))) (let ((fmldws uzszpz)) '())));21;200
(let* ((gnf (begin -24 -5 23)) (vytnl 10) (i (begin -17 9)) (kya 29) (z (/ -21 5)) (vkygdc 7)) (- (if #t kya (+ 8 0)) 16));25;4;(let* ((z (/ -21 5))) '());6;200;(let* ((z (/ -21 5))) '());6;300;(let* ((z (/ -21 5))) '());6;200
(let* ((dyiko (if #t -4 -1)) (mo -14) (s 16) (br 18) (gxd 5) (vju 20)) (begin (set! gxd vju) (set! gxd (* (* -8 -27) br)) (set! gxd dyiko) (* 13 dyiko)));27;25;(let* ((mo -14) (vju 20)) '());4;200;(let* ((mo -14) (vju 20)) '());4;200;(let* ((mo -14)) '());3;200
(let* ((wchkp 20) (iz (/ 7 (let ((kdyyn -3)) 3))) (d (* 28 -16)) (vbk -12) (buf -28) (xpbuc 22)) (/ d d));19;-16;(let* ((iz (/ 7 (let ((kdyyn -3)) 3))) (d (* 28 -16))) '());12;300;(let* ((iz (/ 7 (let ((kdyyn -3)) 3))) (d (* 28 -16))) '());12;200;(let* ((iz (/ 7 (let ((kdyyn -3)) 3))) (d (* 28 -16))) '());12;200
(let* ((xcjhx -10) (vmdtp (let* ((yfrpt -16)) (begin (set! yfrpt (+ (* yfrpt yfrpt) 13)) 24))) (l (* (- 29 -2) (* -5 (+ -4 -7)))) (xzmfwy 6) (cr -28) (jceh -21)) (- (- xcjhx (* -6 vmdtp)) (begin (/ (/ jceh (* l 27)) (- -6 -10)) 5 (+ xzmfwy (+ (+ cr xzmfwy) (+ -15 -1))))));67;-24;(let* ((xcjhx -10) (vmdtp (let* ((yfrpt -16)) (begin (set! yfrpt (+ (* yfrpt yfrpt) 13)) 24)))) '());15;300;(let* ((xcjhx -10) (vmdtp (let* ((yfrpt -16)) (begin (set! yfrpt (+ (* yfrpt yfrpt) 13)) 24)))) '());15;100;(let* ((xcjhx -10) (vmdtp (let* ((yfrpt -16)) (begin (set! yfrpt (+ (* yfrpt yfrpt) 13)) 24)))) '());15;100
(let ((t 10) (pi 2)) (- (/ pi -13) 16));10;-22;(let ((t 10)) '());3;600;(let ((t 10)) '());3;200;(let ((t 10)) '());3;100
(let* ((oy (- (begin 27 -30) -28)) (l (begin -27 28)) (vn 21) (mn 14)) -19);13;0;(let* ((oy (- (begin -30) -28))) '());7;100;(let* ((oy (- (begin -30) -28))) '());7;400;(let* ((oy (- (begin -30) -28))) '());7;100
(let ((dt (/ -11 (+ (/ -23 24) -30))) (lzeww 13) (b -27) (r 18) (tpyhd 2)) (* -3 (if (= (* dt r) 24) (if #t (letrec* ((bkt b)) r) (begin 18 (- -28 (- 22 (/ 3 (/ 7 (- 0 -10))))))) (* lzeww 20))));53;14;(let ((dt (/ -11 (+ (/ -23 24) -30))) (lzeww 13) (b -27) (r 18)) (* -3 (if (= (* dt r) 24) (if #t (letrec* () r) (begin (- -28 (- 22 (/ 3 (/ 7 (- 0 -10))))))) (* lzeww 20))));50;100;(let ((dt (/ -11 (+ (/ -23 24) -30))) (lzeww 13) (b -27) (r 18)) (* -3 (if (= (* dt r) 24) (if #t (letrec* () r) (begin (- -28 (- 22 (/ 3 (/ 7 (- 0 -10))))))) (* lzeww 20))));50;100;(let ((dt (/ -11 (+ (/ -23 24) -30))) (lzeww 13) (b -27) (r 18)) (* -3 (if (= (* dt r) 24) (if #t (letrec* () r) (begin (- -28 (- 22 (/ 3 (/ 7 (- 0 -10))))))) (* lzeww 20))));50;300
(let* ((xfghsn 28) (pqu -30) (vpsoi (* 29 -13)) (gqvba (+ -23 21)) (urfi 0) (dz -14)) 21);14;3;(let* ((gqvba (+ -23 21))) '());6;400;(let* ((gqvba (+ -23 21))) '());6;400;(let* ((gqvba (+ -23 21))) '());6;100
(letrec* ((i 26) (uvbdsi (+ (begin -25 14 30) (- (* (- -12 -24) 11) 14))) (vlttq (letrec* ((aymwl 6)) (* aymwl (/ (/ -9 (* -13 aymwl)) (+ aymwl 12))))) (gmdml (if #t (if #t -21 -9) 8)) (ysr (if #f -11 -3)) (oyblb 1)) i);49;1;(letrec* ((uvbdsi (+ (begin 30) (- (* (- -12 -24) 11) 14))) (vlttq (letrec* ((aymwl 6)) (* aymwl (/ (/ -9 (* -13 aymwl)) (+ aymwl 12)))))) '());34;300;(letrec* ((uvbdsi (+ (begin 30) (- (* (- -12 -24) 11) 14))) (vlttq (letrec* ((aymwl 6)) (* aymwl (/ (/ -9 (* -13 aymwl)) (+ aymwl 12)))))) '());34;400;(letrec* ((uvbdsi (+ (begin 30) (- (* (- -12 -24) 11) 14))) (vlttq (letrec* ((aymwl 6)) (* aymwl (/ (/ -9 (* -13 aymwl)) (+ aymwl 12)))))) '());34;200
(letrec* ((bwbt (if #t (begin 3 -26 -27 28) -3)) (vvdrb (let* ((mqedn (if #t -13 26)) (tzaq 2)) (begin (set! tzaq (- 5 mqedn)) mqedn))) (bter (if (= 16 12) 13 9)) (sebi 22) (ocm (* -17 3)) (qc 12)) (if (< (/ 30 12) 3) (/ vvdrb (* vvdrb qc)) (/ -13 (+ 17 (- 12 sebi)))));60;2;(letrec* ((vvdrb (let* ((mqedn (if #t -13 26))) (begin mqedn))) (bter (if (= 16 12) 13 9))) '());16;100;(letrec* ((vvdrb (let* ((mqedn (if #t -13 26))) (begin mqedn))) (bter (if (= 16 12) 13 9))) '());16;200;(letrec* ((vvdrb (let* ((mqedn (dummy 1))) (begin mqedn))) (bter (if (= 16 12) 13 9))) '());15;200
(letrec* ((c (+ (- (- -25 (if #t (if #f -6 -15) 6)) (+ (if #f -23 (if #f 21 -3)) -17)) 29)) (gdz (+ 26 (begin -30 -3 17))) (ikb -9) (cii 23) (xnpkp 8) (b -4)) (if #t (+ (begin -4 xnpkp) gdz) (- 17 (if (< 20 -16) (/ -5 (/ 5 (- 27 -20))) (/ c (begin (set! c 13) 9))))));70;5;(letrec* ((b -4)) '());3;100;(letrec* ((b -4)) '());3;400;(letrec* ((b -4)) '());3;100
(let* ((ixl -10) (rn -16) (zaz (if #f -12 (- 13 10))) (mz -3) (iufex (- 14 28)) (nq -29)) -21);17;5;(let* ((nq -29)) '());3;200;(let* ((nq -29)) '());3;300;(let* ((nq -29)) '());3;300
(letrec* ((q (if #t (/ -4 (if #t (if #f (if #f 2 1) 24) -29)) -2)) (i -26) (d (+ (if (< 16 -5) 4 (if #t -4 13)) (+ (if #t -3 -13) (if #f -21 -17)))) (s (if #f -25 -5)) (ysrrim (+ 19 11)) (ayvgl -12)) (+ (* (letrec* ((n (- -21 -27)) (anfq -16)) (begin (set! ayvgl (/ ayvgl (+ 24 28))) ayvgl)) 19) (let* ((wggai q) (imukap (+ 20 i)) (hbg (- (/ -26 i) -1))) (if #t -30 (begin (- s imukap) (* (/ ysrrim imukap) 10))))));98;-21;(letrec* ((i -26) (ysrrim (dummy 2)) (ayvgl -12)) (+ (* (letrec* () (begin (set! ayvgl (/ ayvgl (+ 24 28))) ayvgl)) 19) (let* ((imukap (dummy 6))) (if #t -30 (begin (* (/ ysrrim imukap) 10))))));37;200;(letrec* ((i -26) (ysrrim (dummy 2)) (ayvgl -12)) (+ (* (letrec* () (begin (set! ayvgl (/ ayvgl (+ 24 28))) ayvgl)) 19) (let* ((imukap (dummy 6))) (if #t -30 (begin (* (/ ysrrim imukap) 10))))));37;400;(letrec* ((i -26) (ysrrim (dummy 2)) (ayvgl -12)) (+ (* (letrec* () (begin (set! ayvgl (/ ayvgl (+ 24 28))) ayvgl)) 19) (let* ((imukap (dummy 6))) (if #t -30 (begin (* (/ ysrrim imukap) 10))))));37;200
(letrec* ((nvqvvu 6) (t -21) (bb (let () -13)) (hc -21) (bhylgx 2)) 5);8;-17;(letrec* ((bb (let () -13)) (hc -21)) '());5;300;(letrec* ((bb (let () -13)) (hc -21)) '());5;300;(letrec* ((bb (let () -13)) (hc -21)) '());5;200
(let* ((wxgew -12) (dtv (/ 28 -3)) (zelzta (- (- (if #t -3 -11) (if #f 12 25)) (* (* 10 -19) -21))) (zcdmdz (if #t -4 (if #t 8 -11))) (mpqswr -8) (pexf -28)) (- -17 zcdmdz));38;28;(let* ((mpqswr -8)) '());3;200;(let* ((mpqswr -8)) '());3;200;(let* ((mpqswr -8)) '());3;200
(let* ((sqxh 2) (qzebn 3) (ihigkw 29) (xj -30) (ney (if #t 4 -5)) (qzqw 8)) (if #f (let ((pik sqxh) (x (/ 14 (+ xj ihigkw))) (mcvth 21)) (- qzebn 18)) -5));27;-9;(let* ((sqxh 2)) '());3;200;(let* ((sqxh 2)) '());3;300;(let* ((sqxh 2)) '());3;300
(let ((akq (if #t 8 7)) (lnbmc (begin (begin -4 17) (+ 17 -16) 1 27)) (jzq (if #f (if #t -9 0) (* -25 (if #f -11 24)))) (wsc (* -26 (- -8 29))) (wcgpcg 13) (whby -10)) (let ((cvnz wsc) (gup (if #f (/ (+ whby akq) akq) 10)) (ufg (- 26 21)) (o -13)) akq));55;17;(let ((akq (if #t 8 7)) (whby -10)) (let ((gup (if #f (/ (+ whby akq) akq) 10))) '()));18;200;(let ((akq (if #t 8 7)) (whby -10)) (let ((gup (if #f (/ (+ whby akq) akq) 10))) '()));18;300;(let ((akq (if #t 8 7)) (whby -10)) (let ((gup (if #f (/ (+ whby akq) akq) 10))) '()));18;200
(let ((bpj (let* ((uk 15)) -1)) (p 30) (vhljs -13) (ibl 25) (qtv (if #f 22 24)) (d -29)) (if #t (begin d (* -10 15) (- -21 qtv)) (* (let* ((jqfoo (/ d (- ibl -17)))) bpj) (begin (if (< p -14) p -21) (set! qtv (- (* d bpj) -27)) 13 ibl))));53;-6;(let ((bpj (let* () -1)) (p 30) (ibl 25)) (if #t '() (* (let* () bpj) (begin ibl))));14;200;(let ((bpj (let* () -1)) (p 30) (ibl 25)) (if #t '() (* (let* () bpj) (begin ibl))));14;400;(let ((bpj (let* () -1)) (p 30) (ibl 25)) (if #t '() (* (let* () bpj) (begin ibl))));14;200
(let* ((nl -20) (ufmnc -24) (t (/ 25 -6)) (fg 16) (iebdyp 29) (anovp -10)) (begin (set! ufmnc nl) (set! iebdyp (if #f 27 (* (/ 14 -26) (- (+ fg -4) -23)))) fg (if #f 28 -29) -23 -12));37;15;(let* ((fg 16)) '());3;500;(let* ((fg 16)) '());3;400;(let* ((fg 16)) '());3;100
(let* ((htf (+ (if #t (/ (let* () 14) (+ (/ 13 15) (if #t -14 25))) (let* ((r -20)) r)) (begin (* -22 18) -13 -24))) (csf 7) (b (begin -13 24)) (x (let () -30)) (nehqg 18) (k -3)) (begin (- 11 (if #f (* k -19) (- 11 (/ (- -6 b) csf)))) (if #t 18 nehqg) (set! k 30) (/ (/ x k) -24)));70;-8;(let* ((htf (+ (if #t (/ (let* () 14) (+ (/ 13 15) (if #t -14 25))) (let* ((r -20)) r)) (begin -24))) (x (let () -30)) (nehqg 18)) '());28;200;(let* ((htf (+ (if #t (/ (let* () 14) (+ (/ 13 15) (if #t -14 25))) (let* ((r -20)) r)) (begin -24))) (x (let () -30)) (nehqg 18)) '());28;200;(let* ((htf (+ (if #t (/ (let* () 14) (+ (/ 13 15) (if #t -14 25))) (let* ((r -20)) r)) (begin -24))) (x (let () -30)) (nehqg 18)) '());28;200
(letrec* ((pkipt (begin -24 16 7)) (djias (/ 9 9)) (zgxlgf (+ -20 0)) (p 3)) (+ (begin (set! zgxlgf (* p djias)) (begin -20 9) (if #f (- (+ (/ (* -8 -6) -17) p) (+ (/ (- (- -20 djias) 0) (- (+ -10 17) (* (* -15 -22) -17))) djias)) djias) (set! zgxlgf djias) 15) (* 9 pkipt)));72;23;(letrec* ((p 3)) '());3;200;(letrec* ((p 3)) '());3;200;(letrec* ((p 3)) '());3;200
(let ((wa 24) (okr (* (let () 10) (begin 15 15))) (cm -8) (rejqr -8) (eagkga 12)) (let* ((dlyazm -29) (bkip eagkga)) (begin 20 okr)));18;-29;(let ((okr (* (let () 10) (begin 15))) (eagkga 12)) (let* ((bkip eagkga)) '()));11;300;(let ((okr (* (let () 10) (begin 15))) (eagkga 12)) (let* ((bkip eagkga)) '()));11;400;(let ((okr (* (let () 10) (begin 15))) (eagkga 12)) (let* ((bkip eagkga)) '()));11;300
(let* ((crqwbn (begin 28 -24 -23 -22 -8)) (igm (begin -20 28 28)) (yhev (if (< 5 29) -6 5)) (kxcy (/ (/ 29 5) (if #f 28 11))) (zr 12) (ieaidx -6)) (begin (begin 1 (/ 29 (- -12 ieaidx)) (set! kxcy -17) -16) (/ (- (if #f (+ (/ (- -11 yhev) (/ (* -7 (- yhev 4)) 3)) 4) ieaidx) igm) (- -22 (if #t -22 30))) (set! zr (if (= yhev (* (/ kxcy (+ -24 (/ (* (- -7 (- -12 30)) zr) -10))) -3)) (* igm zr) -26)) (set! igm (- zr 29)) (set! crqwbn (- (- -20 12) kxcy)) -7));123;10;(let* ((igm (begin 28)) (yhev (if (< 5 29) -6 5)) (kxcy (dummy 0)) (zr 12)) (begin (begin (set! kxcy -17))));18;200;(let* ((igm (begin 28)) (yhev (if (< 5 29) -6 5)) (kxcy (dummy 2)) (zr 12)) (begin (begin (set! kxcy -17)) (set! zr (if (= yhev (* (/ kxcy (+ -24 (/ (* (- -7 (- -12 30)) zr) -10))) -3)) (* igm zr) -26))));50;300;(let* ((igm (begin 28)) (yhev (if (< 5 29) -6 5)) (kxcy (dummy 0)) (zr 12)) (begin (begin (set! kxcy -17))));18;200
(let* ((ggw (let ((xg (- -5 -28)) (shlszq 25)) (begin -22 shlszq))) (sjqm 15) (gfnzw (if #t (if #t -29 -7) (+ 22 -18))) (c (+ 9 26)) (v -15)) c);27;-28;(let* ((ggw (let ((shlszq 25)) (begin shlszq))) (gfnzw (if #t (if #t -29 -7) (+ 22 -18)))) '());16;200;(let* ((ggw (let ((shlszq 25)) (begin shlszq))) (gfnzw (if #t (if #t -29 -7) (+ 22 -18)))) '());16;300;(let* ((ggw (let ((shlszq 25)) (begin shlszq))) (gfnzw (if #t (if #t -29 -7) (+ 22 -18)))) '());16;100
(let ((euyqqs 3) (hz (+ 11 -30)) (ltga (if (< -30 -6) (* 9 (/ -23 7)) 18)) (sintfl -24) (ew -28) (jczc -8)) -29);23;-27;(let ((sintfl -24)) '());3;900;(let ((sintfl -24)) '());3;300;(let ((sintfl -24)) '());3;100
(let* ((q (begin (- -11 7) -13 (+ 24 29) -29 -23)) (ofpd (* (+ -12 (let* () -1)) (* (* -24 26) -10))) (mlj (begin 15 -24 7)) (pwhu 17) (bfhhps (/ 16 21)) (mcs 11)) (if #t (letrec* ((t -28) (vkujp ofpd)) (begin (* 14 q) t 13)) (begin (/ (+ (- pwhu -8) (if #f (* 21 (- -9 q)) 12)) mlj) -14 25 10 (/ q pwhu))));76;-26;(let* ((ofpd (* (+ -12 (let* () -1)) (* (* -24 26) -10)))) (if #t (letrec* ((t -28)) '()) '()));21;100;(let* ((ofpd (* (+ -12 (let* () -1)) (* (* -24 26) -10)))) (if #t (letrec* ((t -28)) '()) '()));21;200;(let* ((ofpd (* (+ -12 (let* () -1)) (* (* -24 26) -10)))) (if #t (letrec* ((t -28)) '()) '()));21;200
(let ((dlaqrw -6) (iak -4)) (- iak iak));7;-20;(let ((dlaqrw -6)) '());3;100;(let ((dlaqrw -6)) '());3;200;(let ((dlaqrw -6)) '());3;100
(letrec* ((htsp 17) (yvoafn -23)) (if #t (letrec* ((jahe -15) (dhpg 13) (oneaw 13)) (let* ((rn dhpg)) rn)) (if #f (begin (+ yvoafn htsp) htsp 18) (* 18 (/ (* 4 yvoafn) (* 20 yvoafn))))));34;13;(letrec* ((yvoafn -23)) '());3;300;(letrec* ((yvoafn -23)) '());3;200;(letrec* ((yvoafn -23)) '());3;100
(letrec* ((opi -11) (naf 17) (euvzv (+ 26 28)) (bjdqm 1)) bjdqm);9;1;(letrec* ((naf 17)) '());3;100;(letrec* ((naf 17)) '());3;100;(letrec* ((naf 17)) '());3;500
(let ((yg -20) (w 12) (gvsf 24) (vynmyj -28) (thywug -14)) 21);7;-16;(let ((thywug -14)) '());3;400;(let ((thywug -14)) '());3;400;(let ((thywug -14)) '());3;200
(letrec* ((iydjfy (* (- (begin -21 -7) 4) (begin 12 -2 9))) (pxsf -14) (rjrkhc 22) (z (+ 6 19)) (zsrwnp 14)) (let* ((js rjrkhc) (ycq (+ -26 (+ zsrwnp (/ 25 z)))) (xfvxw -8)) (/ 17 11)));37;19;(letrec* ((z (+ 6 19))) '());6;100;(letrec* ((z (+ 6 19))) '());6;400;(letrec* ((z (+ 6 19))) '());6;200
