expression; size; sliced on; concrete slice; concrete size; concrete time (ns) ; sign slice; sign size;sign time ; parity slice; parity size; parity time 
(let* ((hzv (begin 18 -4)) (ilu -17) (ym -24)) (if (< -10 8) (* ilu ym) (begin (set! ilu (+ (begin (set! ym (+ -22 ym)) hzv) (begin ym 22))) (set! ilu (if (< (- -21 -5) (/ 14 -24)) (- 24 -6) ym)) (* ym (* hzv -20)) -26 19)));55;-13;(let* ((hzv (dummy 2)) (ilu -17) (ym -24)) (if (< -10 8) '() (begin (set! ilu (+ (begin (set! ym (+ -22 ym)) hzv) (begin 22))))));25;200;(let* ((hzv (dummy -2)) (ilu -17) (ym -24)) (if (< -10 8) '() (begin (set! ilu (+ (begin (set! ym (+ -22 ym)) hzv) (begin 22))))));25;300;(let* ((hzv (dummy 2)) (ilu -17) (ym -24)) (if (< -10 8) '() (begin (set! ilu (+ (begin (set! ym (+ -22 ym)) hzv) (begin 22))))));25;200
(let ((oeu -16) (c -24) (demb 25) (snpopx 4)) -29);6;-7;(let ((c -24)) '());3;200;(let ((c -24)) '());3;400;(let ((c -24)) '());3;300
(let* ((cpnrn -1) (jfziht 4) (lsrfb 0) (j 9)) (if (< (* jfziht jfziht) cpnrn) (/ j (let ((o 26) (dmpwtf (- j 7))) (* cpnrn lsrfb))) (/ 8 -27)));30;28;(let* ((cpnrn -1) (jfziht 4) (lsrfb 0) (j 9)) (if (< (* jfziht jfziht) cpnrn) (/ j (let ((o 26)) (* cpnrn lsrfb))) '()));23;200;(let* ((cpnrn -1) (jfziht 4) (lsrfb 0) (j 9)) (if (< (* jfziht jfziht) cpnrn) (/ j (let ((o 26)) (* cpnrn lsrfb))) '()));23;400;(let* ((cpnrn -1) (jfziht 4) (lsrfb 0) (j 9)) (if (< (* jfziht jfziht) cpnrn) (/ j (let ((o 26)) (* cpnrn lsrfb))) '()));23;400
(letrec* ((msk 8)) (if #f -27 (if #t (+ 28 (if #f (/ -4 (+ (/ msk msk) (- 1 (* 27 (+ -3 msk))))) (begin -28 -8))) msk)));35;24;(letrec* ((msk 8)) '());3;200;(letrec* ((msk 8)) '());3;300;(letrec* ((msk 8)) '());3;700
(let* ((lt (begin 13 24)) (hidhl -10) (lhkagh (let () 11)) (bxeww 7) (pn -7)) (/ (begin (begin lt (+ -27 (- 6 (- lt lt)))) (- (- (- 14 8) -3) -27) (+ 10 (- 2 lt)) (/ -19 hidhl)) (/ (if (= lhkagh lt) (begin (set! lt 5) (set! hidhl pn) (+ -11 hidhl)) (if #f (* hidhl pn) (begin (set! lhkagh bxeww) 21))) bxeww)));72;-20;(let* ((lt (begin 24)) (hidhl -10) (lhkagh (let () 11)) (bxeww 7) (pn -7)) (/ (begin (/ -19 hidhl)) (/ (if (= lhkagh lt) (begin (set! lt 5) (+ -11 hidhl)) (if #f (* hidhl pn) (begin 21))) bxeww)));38;300;(let* ((lt (begin 24)) (hidhl -10) (lhkagh (let () 11)) (bxeww 7) (pn -7)) (/ (begin (/ -19 hidhl)) (/ (if (= lhkagh lt) (begin (set! lt 5) (+ -11 hidhl)) (if #f (* hidhl pn) (begin 21))) bxeww)));38;400;(let* ((lt (begin 24)) (hidhl -10) (lhkagh (let () 11)) (bxeww 7) (pn -7)) (/ (begin (/ -19 hidhl)) (/ (if (= lhkagh lt) (begin (set! lt 5) (+ -11 hidhl)) (if #f (* hidhl pn) (begin 21))) bxeww)));38;100
(let* ((f (begin -21 4 8)) (fap (/ 22 (- 20 -29))) (zg (begin 12 13)) (c -26) (oydm -11)) oydm);18;8;(let* ((c -26)) '());3;100;(let* ((c -26)) '());3;300;(let* ((c -26)) '());3;300
(letrec* ((rz (+ (if #f (begin 22 7) (begin 14 30)) (begin -28 4))) (x 26) (rkynj (if (= -3 18) 22 5)) (sdjrf -12) (v 25)) -2);25;20;(letrec* ((rz (+ (if #f (begin 7) (begin 30)) (begin 4)))) '());12;200;(letrec* ((rz (+ (if #f (begin 7) (begin 30)) (begin 4)))) '());12;200;(letrec* ((rz (+ (if #f (begin 7) (begin 30)) (begin 4)))) '());12;200
(let ((mbrka (if #t (if #f -19 6) (* -4 5))) (gfk (/ -27 5)) (dldyw -21)) (- -10 17));20;-25;(let ((dldyw -21)) '());3;100;(let ((dldyw -21)) '());3;200;(let ((dldyw -21)) '());3;500
(let* ((e 12) (i (if #f (if #t (begin 9 23) (+ 19 1)) (- -16 (/ (* -28 -11) (if #t -24 -3))))) (bu -6) (jpezyx (letrec* () 16)) (db -22) (cnlz 7)) (- db (+ (* 26 bu) (begin (* -8 i) -20 21))));47;25;(let* ((i (if #f (if #t (begin 23) (+ 19 1)) (- -16 (/ (* -28 -11) (if #t -24 -3))))) (jpezyx (letrec* () 16))) '());27;200;(let* ((i (if #f (if #t (begin 23) (+ 19 1)) (- -16 (/ (* -28 -11) (if #t -24 -3))))) (jpezyx (letrec* () 16))) '());27;400;(let* ((i (if #f (if #t (begin 23) (+ 19 1)) (- -16 (/ (* -28 -11) (if #t -24 -3))))) (jpezyx (letrec* () 16))) '());27;400
(let* ((lq 15) (khtydv (if (= 2 -5) (if (< 5 10) (if #t (if #f -4 -26) (if #t 9 28)) (begin 4 -27)) (if (< -17 19) (+ 0 23) 17))) (dizgh (begin 25 -14)) (iyw (begin -25 -10)) (gdhy 0) (od 21)) (begin (set! gdhy (let ((kumcpp (+ (- khtydv iyw) 27)) (twpx iyw)) (begin od (* (+ gdhy -18) (+ (+ -23 twpx) 23))))) (- (if (< khtydv (* khtydv (/ iyw (+ -27 -7)))) (/ dizgh 6) (if #t iyw (+ (+ (/ 26 od) (- (+ -20 (- -18 lq)) lq)) 23))) 4) (- (* od -29) (+ 7 gdhy)) (if #f (+ iyw 29) (+ -15 -14)) od -16));134;24;(let* ((lq 15) (khtydv (if (= 2 -5) (if (< 5 10) (if #t (if #f -4 -26) (if #t 9 28)) (begin -27)) (if (< -17 19) (+ 0 23) 17))) (iyw (begin -10)) (gdhy 0)) (begin (set! gdhy (let ((twpx iyw)) (begin (* (+ gdhy -18) (+ (+ -23 twpx) 23)))))));55;100;(let* ((lq 15) (khtydv (if (= 2 -5) (if (< 5 10) (if #t (if #f -4 -26) (if #t 9 28)) (begin -27)) (if (< -17 19) (+ 0 23) 17))) (iyw (begin -10)) (gdhy 0)) (begin (set! gdhy (let ((twpx iyw)) (begin (* (+ gdhy -18) (+ (+ -23 twpx) 23)))))));55;300;(let* ((lq 15) (khtydv (if (= 2 -5) (if (< 5 10) (if #t (if #f -4 -26) (if #t 9 28)) (begin -27)) (if (< -17 19) (+ 0 23) 17))) (iyw (begin -10)) (gdhy 0)) (begin (set! gdhy (let ((twpx iyw)) (begin (* (+ gdhy -18) (+ (+ -23 twpx) 23)))))));55;400
